店铺名称,店铺具体地址,店铺具体坐标.纬度,店铺具体坐标.经度,店铺所在地区,店铺所在城市,店铺所在省份,店铺类别
黄蜀郎鸡公煲(二号路店),金银湖街道庭瑞新汉口B区6栋1层6号商铺,30.657661,114.223825,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
古城壹面兰州牛肉面(汉口印象店),马池中路庭瑞新汉口B区,30.657445,114.223758,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
柒呷呷川式烤肉(马池路店),马池中路庭悦荟B7栋1层2号,30.657853,114.223671,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
咯咯鸡萌,金银湖街道庭瑞新汉口B7栋8号商铺,30.657499,114.223731,东西湖区,武汉市,湖北省,餐饮服务;餐饮相关场所;餐饮相关
东北饺子小酒馆,金银湖街道马池中路庭瑞新汉口B区,30.657855,114.223718,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;特色/地方风味餐厅
俏阿郎麻辣香锅,金银湖街道马池中路9号庭瑞荟B1栋一楼13号铺,30.657337,114.223729,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
东北饺子馆,二号路与马池西路交叉口东140米,30.657899,114.223606,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;特色/地方风味餐厅
夜烤吧,马池中路与环湖中路交叉口西140米,30.657359,114.223658,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;特色/地方风味餐厅
武汉市东西湖区张连明过桥米线店,二号路汉口印象,30.657722,114.223542,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
啤酒大排档烧烤(新汉口店),"金银湖办事处马池中路9号家美天晟阳光城(汉口印象)二期B7号楼/单元1层商9,10,11,12,号2层1,2,3号",30.657063,114.223693,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;特色/地方风味餐厅
张亮麻辣烫(二号路店),马池中路9号庭瑞新汉口B71层商4-5,30.657533,114.223568,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
如意馄饨(庭瑞新汉口店),金银湖街道马池中路7号,30.657528,114.223568,东西湖区,武汉市,湖北省,餐饮服务;快餐厅;快餐厅
老火笨汤,马池中路9号家美天晟阳光城(汉口印象)二期B7号楼/单元1层商1,30.657632,114.223523,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
蜀大侠(金银湖店),马池中路9号,30.657367,114.223479,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;火锅店
Stary Bar啤酒大牌档,马池中路与环湖中路交叉口西140米,30.657345,114.22357,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
三哥猪脚饭(悦尚美食城店),金银湖办事处马池中路9号家美天晟阳光城二期B1号楼1层商5号,30.657786,114.223401,东西湖区,武汉市,湖北省,餐饮服务;中餐厅;中餐厅
